Id;Measure;Perioden;Value;StringValue;ValueAttribute
482;M000238;1981MM08;6,4;;None
483;M000239;1981MM08;;;Impossible
484;M000238;1981MM09;6,8;;None
485;M000239;1981MM09;;;Impossible
486;M000238;1981MM10;7,1;;None
487;M000239;1981MM10;;;Impossible
488;M000238;1981MM11;7,3;;None
489;M000239;1981MM11;;;Impossible
490;M000238;1981MM12;7,2;;None
491;M000239;1981MM12;;;Impossible
492;M000238;1981JJ00;6,7;;None
493;M000239;1981JJ00;;;Impossible
494;M000238;1982MM01;7;;None
495;M000239;1982MM01;;;Impossible
496;M000238;1982MM02;6,8;;None
497;M000239;1982MM02;;;Impossible
498;M000238;1982MM03;6,9;;None
499;M000239;1982MM03;;;Impossible
500;M000238;1982MM04;6,6;;None
501;M000239;1982MM04;;;Impossible
502;M000238;1982MM05;6,3;;None
503;M000239;1982MM05;;;Impossible
504;M000238;1982MM06;6,5;;None
505;M000239;1982MM06;;;Impossible
506;M000238;1982MM07;6,1;;None
507;M000239;1982MM07;;;Impossible
508;M000238;1982MM08;5,9;;None
509;M000239;1982MM08;;;Impossible
510;M000238;1982MM09;5,4;;None
511;M000239;1982MM09;;;Impossible
512;M000238;1982MM10;4,9;;None
513;M000239;1982MM10;;;Impossible
514;M000238;1982MM11;4,6;;None
515;M000239;1982MM11;;;Impossible
516;M000238;1982MM12;4,3;;None
517;M000239;1982MM12;;;Impossible
518;M000238;1982JJ00;6;;None
519;M000239;1982JJ00;;;Impossible
520;M000238;1983MM01;3,6;;None
521;M000239;1983MM01;;;Impossible
522;M000238;1983MM02;3,3;;None
523;M000239;1983MM02;;;Impossible
524;M000238;1983MM03;2,7;;None
525;M000239;1983MM03;;;Impossible
526;M000238;1983MM04;2,7;;None
527;M000239;1983MM04;;;Impossible
528;M000238;1983MM05;2,6;;None
529;M000239;1983MM05;;;Impossible
530;M000238;1983MM06;2,5;;None
531;M000239;1983MM06;;;Impossible
532;M000238;1983MM07;2,4;;None
533;M000239;1983MM07;;;Impossible
534;M000238;1983MM08;2,6;;None
535;M000239;1983MM08;;;Impossible
536;M000238;1983MM09;2,5;;None
537;M000239;1983MM09;;;Impossible
538;M000238;1983MM10;2,5;;None
539;M000239;1983MM10;;;Impossible
540;M000238;1983MM11;2,8;;None
541;M000239;1983MM11;;;Impossible
542;M000238;1983MM12;3;;None
543;M000239;1983MM12;;;Impossible
544;M000238;1983JJ00;2,8;;None
545;M000239;1983JJ00;;;Impossible
546;M000238;1984MM01;3,3;;None
547;M000239;1984MM01;;;Impossible
548;M000238;1984MM02;3,7;;None
549;M000239;1984MM02;;;Impossible
550;M000238;1984MM03;3,9;;None
551;M000239;1984MM03;;;Impossible
552;M000238;1984MM04;3,9;;None
553;M000239;1984MM04;;;Impossible
554;M000238;1984MM05;3,7;;None
555;M000239;1984MM05;;;Impossible
556;M000238;1984MM06;3,6;;None
557;M000239;1984MM06;;;Impossible
558;M000238;1984MM07;3,1;;None
559;M000239;1984MM07;;;Impossible
560;M000238;1984MM08;2,8;;None
561;M000239;1984MM08;;;Impossible
562;M000238;1984MM09;2,8;;None
563;M000239;1984MM09;;;Impossible
564;M000238;1984MM10;3,1;;None
565;M000239;1984MM10;;;Impossible
566;M000238;1984MM11;3;;None
567;M000239;1984MM11;;;Impossible
568;M000238;1984MM12;2,8;;None
569;M000239;1984MM12;;;Impossible
570;M000238;1984JJ00;3,3;;None
571;M000239;1984JJ00;;;Impossible
572;M000238;1985MM01;2,4;;None
573;M000239;1985MM01;;;Impossible
574;M000238;1985MM02;2,2;;None
575;M000239;1985MM02;;;Impossible
576;M000238;1985MM03;2,4;;None
577;M000239;1985MM03;;;Impossible
578;M000238;1985MM04;2,5;;None
579;M000239;1985MM04;;;Impossible
580;M000238;1985MM05;2,6;;None
581;M000239;1985MM05;;;Impossible
582;M000238;1985MM06;2,5;;None
583;M000239;1985MM06;;;Impossible
584;M000238;1985MM07;2,3;;None
585;M000239;1985MM07;;;Impossible
586;M000238;1985MM08;2,3;;None
587;M000239;1985MM08;;;Impossible
588;M000238;1985MM09;2,3;;None
589;M000239;1985MM09;;;Impossible
590;M000238;1985MM10;1,9;;None
591;M000239;1985MM10;;;Impossible
592;M000238;1985MM11;1,7;;None
593;M000239;1985MM11;;;Impossible
594;M000238;1985MM12;1,7;;None
595;M000239;1985MM12;;;Impossible
596;M000238;1985JJ00;2,3;;None
597;M000239;1985JJ00;;;Impossible
598;M000238;1986MM01;1,4;;None
599;M000239;1986MM01;;;Impossible
600;M000238;1986MM02;1,2;;None
601;M000239;1986MM02;;;Impossible
602;M000238;1986MM03;0,7;;None
603;M000239;1986MM03;;;Impossible
604;M000238;1986MM04;0,6;;None
605;M000239;1986MM04;;;Impossible
606;M000238;1986MM05;0,5;;None
607;M000239;1986MM05;;;Impossible
608;M000238;1986MM06;0,2;;None
609;M000239;1986MM06;;;Impossible
610;M000238;1986MM07;-0,7;;None
611;M000239;1986MM07;;;Impossible
612;M000238;1986MM08;-0,5;;None
613;M000239;1986MM08;;;Impossible
614;M000238;1986MM09;-0,6;;None
615;M000239;1986MM09;;;Impossible
616;M000238;1986MM10;-0,2;;None
617;M000239;1986MM10;;;Impossible
618;M000238;1986MM11;-0,2;;None
619;M000239;1986MM11;;;Impossible
620;M000238;1986MM12;-0,1;;None
621;M000239;1986MM12;;;Impossible
622;M000238;1986JJ00;0,2;;None
623;M000239;1986JJ00;;;Impossible
624;M000238;1987MM01;-1,3;;None
625;M000239;1987MM01;;;Impossible
626;M000238;1987MM02;-1,2;;None
627;M000239;1987MM02;;;Impossible
628;M000238;1987MM03;-1,1;;None
629;M000239;1987MM03;;;Impossible
630;M000238;1987MM04;-1,1;;None
631;M000239;1987MM04;;;Impossible
632;M000238;1987MM05;-1,1;;None
633;M000239;1987MM05;;;Impossible
634;M000238;1987MM06;-0,8;;None
635;M000239;1987MM06;;;Impossible
636;M000238;1987MM07;0,1;;None
637;M000239;1987MM07;;;Impossible
638;M000238;1987MM08;0,2;;None
639;M000239;1987MM08;;;Impossible
640;M000238;1987MM09;0,2;;None
641;M000239;1987MM09;;;Impossible
642;M000238;1987MM10;0,1;;None
643;M000239;1987MM10;;;Impossible
644;M000238;1987MM11;-0,1;;None
645;M000239;1987MM11;;;Impossible
646;M000238;1987MM12;-0,2;;None
647;M000239;1987MM12;;;Impossible
648;M000238;1987JJ00;-0,5;;None
649;M000239;1987JJ00;;;Impossible
650;M000238;1988MM01;0,6;;None
651;M000239;1988MM01;;;Impossible
652;M000238;1988MM02;0,5;;None
653;M000239;1988MM02;;;Impossible
654;M000238;1988MM03;0,7;;None
655;M000239;1988MM03;;;Impossible
